kluster_id,nama_kluster,jenis_kluster
A1, KLUSTER MAKANAN RINGAN/SEGERA,A
A2, KLUSTER MAKANAN TRADISIONAL,A
A3, KLUSTER MAKANAN SEJUK BEKU,A
A4, KLUSTER MAKANAN KEK/ ROTI/ BISKUT,A
A5, KLUSTER MAKANAN REMPAH RATUS/ BAHAN MASAKAN,A
A6, KLUSTER MAKANAN PERENCAH/ PENCICAH/ SOS,A
A7, KLUSTER MINUMAN/KORDIAL,A
B1, KLUSTER PRODUK BERASASKAN KAYU/ POKOK,B
B2, KLUSTER PRODUK BERASASKAN LOGAM,B
B3, KLUSTER PRODUK BERASASKAN TANAH LIAT/ PASIR,B
B4, KLUSTER PRODUK BERASASKAN BAHAN BINAAN,B
B5, KLUSTER PRODUK BERASASKAN TEKSTIL/ KEKABU,B
B6, KLUSTER PRODUK BERASASKAN GETAH/ SAWIT,B
B7, KLUSTER PRODUK BERASASKAN BAHAN ORGANIK/ TUMBUHAN/ HAIWAN,B
C1, KLUSTER TANAMAN,C
C2, KLUSTER TERNAKAN,C
C3, KLUSTER AKUAKULTUR,C
D1, KLUSTER RAKAN STRATEGIK PEMASARAN,D
D2, KLUSTER RAKAN PEMASARAN,D
D3, KLUSTER PENGEDAR,D
D4, KLUSTER STOKIS,D
D5, KLUSTER AGEN,D
E1, KLUSTER ANDAMAN & BUTIK,E
E2, KLUSTER BENGKEL BAIKI KENDERAAN,E
E3, KLUSTER BENGKEL CUCI KENDERAAN,E
E4, KLUSTER BENGKEL JAHITAN,E
E5, KLUSTER BENGKEL KIMPALAN/BESI/KACA,E
E6, KLUSTER DOBI,E
E7, KLUSTER FOTOGRAFI,E
E8, KLUSTER HOMESTAY/RESORT,E
E9, KLUSTER KATERING & KANOPI,E
E10, KLUSTER KEDAI BAIKI BARANG ELEKTRIK/ELEKTRONIK,E
E11, KLUSTER KEDAI GUNTING RAMBUT,E
E12, KLUSTER KEDAI KRAFTANGAN/CENDERAHATI,E
E13, KLUSTER KEDAI MAKAN/FOOD TRUCK/KIOSK,E
E14, KLUSTER KEDAI PAKAIAN/KASUT/BEG,E
E15, KLUSTER KEDAI RUNCIT/BARANG BASAH,E
E16, KLUSTER KONTRAKTOR BINAAN,E
E17, KLUSTER LOGISTIK & PENGANGKUTAN,E
E18, KLUSTER NURSERI,E
E19, KLUSTER ONLINE SERVIS/CYBERCAFE,E
E20, KLUSTER PENDAWAIAN ELEKTRIK,E
E21, KLUSTER PENYELENGGARAAN KEBUN,E
E22, KLUSTER PERCETAKAN DAN PENGIKLANAN,E
E23, KLUSTER PROSES AYAM,E
E24, KLUSTER PROSES BAJA,E
E25, KLUSTER PROSES SANTAN,E
E26, KLUSTER SEWA BOT,E
E27, KLUSTER SEWA KANOPI,E
E28, KLUSTER SEWA KERETA KUDA,E
E29, KLUSTER SEWA AUDIO VISUAL SISTEM/ALAT SIARAYA/DJ,E
E30, KLUSTER SPA KECANTIKAN/KESIHATAN,E
E31, KLUSTER TASKA,E
E32, KLUSTER URUTAN/REFLEKSOLOGI,E
E33, KLUSTER KLINIK HAIWAN,E
E34, KLUSTER KEDAI PERKAKAS/PERALATAN/MAKANAN HAIWAN,E
E35, KLUSTER KEDAI BAIKI PERABOT/KUSYEN/KANVAS,E
E36, KLUSTER KEDAI BAIKI PERALATAN KEJURUTERAAN/MESIN,E
E37, KLUSTER KEDAI KELENGKAPAN IBU & ANAK,E
E38, KLUSTER PENGURUS MAJLIS/ACARA/PERANCANG PERKAHWINAN,E
E39, KLUSTER TUKANG KASUT,E
E40, KLUSTER TUKANG KUNCI,E
E41, KLUSTER PUSAT TUSYEN/LATIHAN,E
E42, KLUSTER PELUKIS/MURAL/KALIGRAFI,E
E43, KLUSTER PENYEMBUR RACUN SERANGGA,E
E44, KLUSTER PEMBEKAL GAS LPG,E
E45, KLUSTER PEMASANGAN GIGI PALSU,E
E46, KLUSTER STUDIO & PRODUKSI,E
E47, KLUSTER PEMBUNGKUSAN MAKANAN,E
E48, KLUSTER DEPO GETAH/URUSNIAGA GETAH,E